book_title,author_name,keywords
Martin the Warrior,Brian Jacques,redwall; jacques; badrang; martin; liverpool; fist; mere; tyrant; enslavement; long; stronghold; sword; awaited; mouse; massive; walls; ruthless; brave; strong; tribes
Obsession,Jennifer L. Armentrout (Goodreads Author),serena; armentrout; hunter; ash; blood; lux; novella; series; flesh; government; jennifer; lynn; protect; kill; 2013; 1001; read; spin; 2015; 2014
The Fionavar Tapestry,Guy Gavriel Kay (Goodreads Author),kay; tolkien; thierry; fionavar; orane; ferrieres; dark; maugrim; celtic; fantasy; tapestry; masters; brightness; villar; sarantium; sarantine; grand; valerius; masterful; written
Daimon,Jennifer L. Armentrout (Goodreads Author),armentrout; ash; mortal; trained; duty; blood; step; novella; series; flesh; jennifer; lynn; mother; descendant; rearing; lame; thee; 2013; miami; pretending
Black Swan Green,David Mitchell,mitchell; webb; comedy; swan; jason; thirteen; green; sitcom; panel; david; peep; bbc; black; bohemian; pointed; enacted; cigarettes; elegiac; exquisitely; boyhood
Red Harvest,Dashiell Hammett,hammett; stayed; poisonville; harvest; guilty; continental; superb; op; honest; exploration; citizen; corruption; meant; murdered; red; taking; dashiell; entire; violence; crime
The Moor's Last Sigh,Salman Rushdie,rushdie; moor; cover; labyrinthine; spice; sigh; compulsive; merchants; satirical; premature; offspring; curses; compassionate; grave; spain; lords; surviving; deaths; route; storyteller
The Icewind Dale Trilogy Collector's Edition,R.A. Salvatore,salvatore; tsr; drizzt; elf; evil; forbidding; tempered; windswept; valleys; icewind; passes; unbreakable; shard; dwarf; introduced; realms; dale; barbarian; heroic; drow
The Ground Beneath Her Feet,Salman Rushdie,rushdie; low; salman; novel; high; finds; lover; caught; beginning; tale; human; quarrels; remaking; earthquake; failings; flawed; cracks; accomplished; surfaces; singer
Ghostwritten,David Mitchell,mitchell; webb; comedy; linked; sitcom; lives; panel; writer; peep; bbc; stretching; connects; kong; converge; spins; axis; shack; disc; mongolia; okinawa
Nothing,"Janne Teller, Martin Aitken (Translator)",pierre; meaning; mildred; translations; award; winners; publisher; children; book; books; honor; missed; prompt; shoes; fishing; justify; rod; pile; climbs; sacrifices
La Mécanique du cœur,Mathias Malzieu,pas; la; album; mi; au; une; band; il; ukulele; le; song; en; singer; plus; vampire; froid; garçon; petit; du; mis
The Gambler,"Fyodor Dostoyevsky, Constance Garnett (Translator)",garnett; heinemann; dostoevsky; london; general; chatto; windus; translations; downward; tutor; heights; mired; gambler; inescapable; betting; adept; niece; tolstoy; spiral; reaches
Gregor and the Code of Claw,Suzanne Collins,gregor; collins; hunger; awful; underland; games; warrior; overlander; pains; 2007; approaching; safely; gather; rats; catching; pryor; suzanne; format; mom; defend
Triptych,Karin Slaughter (Goodreads Author),slaughter; boundaries; trent; michael; thriller; georgia; killer; winner; karin; cop; nomination; blindsighted; loser; arrogance; entered; fuel; angie; vice; dozens; atlanta
Selling Scarlett,Ella James (Goodreads Author),clark; elizabeth; tired; faber; hunter; newcastle; cost; online; hungry; 2023; marketing; parts; doesn; 2024; boy; novel; bourbon; poker; suri; elbows
